AZN.L,HSBA.L,RMV.L
1441.922119,249.382874,15.458855
1449.804321,253.449921,15.135101
1445.600098,253.945816,14.143633
1423.004639,233.610428,13.435438
1430.886597,217.242859,12.88912
1413.020264,212.580566,13.071222
1450.329468,198.792038,13.415206
1473.97644,192.443436,13.314035
1444.02356,204.545563,13.314035
1460.839233,209.108688,13.273568
1513.912964,204.545563,12.949819
1548.59436,214.663651,13.273568
1488.164307,210.794937,13.3545
1502.878174,231.328903,13.961526
1408.290649,219.425156,13.819887
1403.56189,215.556442,13.637781
1415.647827,209.108688,13.314035
1454.008057,209.108688,13.3545
1432.052002,216.052399,13.678247
1435.328735,214.068497,14.588781
1411.297607,218.036407,15.620726
1412.936035,220.417145,16.672897
1427.136353,213.175735,15.560019
1441.336792,209.108688,15.904005
1428.22876,211.687744,16.187273
1399.828369,210.298965,15.863534
1398.735718,210.49733,15.78259
1365.419312,196.212906,15.377917
1368.696533,199.982422,15.863534
1358.865479,197.601654,15.499318
1345.211304,189.368347,15.721889
1306.979492,188.177963,15.620726
1318.995117,187.28508,16.268211
1310.803223,195.419373,16.187273
1287.317627,209.108688,16.7943
1225.054321,194.923355,18.210686
1223.415894,158.319336,18.352329
1222.32373,156.732254,18.372557
1208.669312,159.113007,17.947641
1192.284302,149.788391,18.352329
1172.622314,143.142136,18.210686
1214.130859,138.479935,18.251152
1242.531982,158.319336,19.020052
1228.331299,148.399628,18.777243
1249.085449,153.161209,18.210686
1263.286133,163.37851,18.251152
1339.749146,175.381409,19.020052
1323.910767,182.523666,19.465199
1296.056396,175.926117,19.283094
1231.608398,181.766739,19.829416
1248.539429,171.488907,19.890116
1242.531982,193.098373,21.650486
1243.624023,180.849152,21.448137
1244.716309,172.991211,20.234093
1246.35498,184.546982,20.618544
1242.531982,186.049301,21.427908
1284.587036,171.257797,20.699482
1338.657349,182.582535,21.16486
1324.457153,189.862717,21.690948
1343.026489,212.165573,21.690948
1301.517944,200.840759,23.046633
1297.148438,208.352097,23.087103
1286.225098,204.307526,23.997639
1283.494385,201.996292,23.370382
1264.378296,219.098984,23.795294
1267.655396,222.450272,24.361849
1264.924561,220.254608,24.382082
1308.071899,225.570221,25.494955
1295.509888,224.183609,25.575901
1284.040405,212.165573,23.775057
1271.47876,208.120911,24.038109
1267.655396,217.018967,24.11904
1243.077881,212.396591,24.50349
1307.526001,220.023438,25.596132
1356.134521,215.632278,26.304319
1328.279907,211.241028,26.74947
1334.288086,215.05452,26.709
1302.610474,222.103516,26.304319
1269.840088,222.796875,26.304319
1288.410034,239.206161,26.951818
1304.248535,249.14415,26.992285
1307.526001,256.539917,27.477896
1309.164429,266.940247,27.579075
1381.258545,267.171417,26.688766
1414.574463,258.620056,26.24362
1434.237061,245.21521,25.664568
1409.113159,249.490814,26.347025
1397.643311,245.908661,26.057491
1408.566528,256.771057,26.429741
1420.036377,265.784729,27.794661
1439.152222,261.747284,27.298321
1445.159912,251.957947,26.677912
1432.598022,250.093338,27.422415
1435.875,251.841537,27.174248
1406.381592,256.852631,29.056173
1391.089233,254.172256,29.345697
1403.651245,259.416504,29.180258
1406.928223,257.318787,29.407745
1372.519531,249.39418,29.138895
1362.688721,246.830276,29.366383
1371.427246,247.645996,28.787331
1377.981323,244.266373,28.580523
1383.443359,244.033264,28.456436
1367.058105,241.352905,28.82869
1356.68103,249.860245,29.200943
1374.704346,255.570679,29.986803
